Text,Language
Bbaasi y'essomero tesobola kumalawo bayizi bonna.,Luganda
Abayizi beemulugunyizza ku ndya embi.,Luganda
Ssentebe yatusabye ffenna okukolerera enkulaakulana.,Luganda
Minisita yawaddeyo n'omutima gumu.,Luganda
Abavubuka bangi tebalina mirimu.,Luganda
Abavubuka baakubiriziddwa okutondawo emirimu oba bizinensi ezaabwe.,Luganda
Tukyetaaga ensimbi endala okumaliriza pulojekiti.,Luganda
Ebibiina by'abavubuka eby'enjawulo byafuna ensimbi mu ngeri ya looni wansi wa pulogulaamu y'abavubuka.,Luganda
Gavumenti esonyiye amabanja ga looni mangi agali mu pulogulaamu y'abavubuka eya youth liverihood program.,Luganda
Kirungi okubeera toddiriza mu bizinensi yo.,Luganda
Yasomesezza abavubuka ku bukodyo bw'okukwatamu obulungi ensimbi.,Luganda
Enteekateeka egendereddwamu kwongera ku mirimu na kukendeeza bwavu.,Luganda
Muganda wange yekweka oluvannyuma lw'okufuna akakadde k'ensimbi ku banjja okuva mu bbanka.,Luganda
Obuwanguzi bujja n'okulemererwa kungi.,Luganda
Kino ekirowoozo kya bizinesi kirungi?,Luganda
Waliwo okweyongera kw'ebbula ly'emirimu mu bavubuka ennaku zino.,Luganda
Ekiruubirirwa ky'enteekateeka kyali ky'abaavu n'abavubuka batalina mirimu.,Luganda
Waliwo ebitongole eby'enjawulo ebikola okumalawo enguzi mu Uganda.,Luganda
Waliwo obuli bw'enguzi n'obulyake bingi mu bitongole bya gavumenti.,Luganda
Omukolo gw'okulayira gwakukolebwa enkya kumakya ku kitebe kya disitulikiti.,Luganda
Omukulembeze alina okulaga obwenkanya wakati w'abaami b'abakyala.,Luganda
Tosobola ku kulembera nga tolina bagoberezi.,Luganda
Wajja kubeerawo olukiiko lw'ekitundu n'abakulembeze b'ekitundu.,Luganda
Twalonze abakulembeze b'ekyalo kyaffe ku lwokusatu n'ebibasuubirwamu bingi.,Luganda
Buli mugenyi wa kuwandiika ng'ayingira n'okufuluma ekizimbe.,Luganda
Buli kyalo kiddukanyizibwa omukulembeze.,Luganda
Ssentebe wa L.C eyookutaano y'akulembera olukiiko.,Luganda
Poliisi egezezzaako engeri empya ez'okuyimiriza obuzzi bw'emisango.,Luganda
Twafunye okutendekebwa okuva eri abakugu abamanyirivu ab'amakolero.,Luganda
Olukiiko lujja kubeerayo wiiki ejja ku lwokutaano mu kisenge ky'ekibuga.,Luganda
Okuvuga gw'egumu ku mirimu egy'obulabe mu kisaawe ky'amafuta.,Luganda
Baazuula amafuta ne gaasi mu kitundu ky'obukiikakkono bw'eggwanga.,Luganda
Amafuta ne gaasi gali mu mbeera ki mu Uganda?,Luganda
Obwerufu kikulu mu kukomya enguzi mu nsi engagga.,Luganda
Mu Uganda amafuta gaazulibwa emyaka kkumi egiyise.,Luganda
Okwonoona amafuta kyabulabe eri ebisolo n'ebiwuka.,Luganda
"Omusolo gujja kusoloozebwa, gulangirirwe ate gubalirirwe.",Luganda
Ebyalo ebiri mu bitundu omuli amafuta bijja kuganyulwa okuva mu kusima amafuta ne gaasi.,Luganda
Gavumenti ejja kufuna ssente nnyingi okuva mu kisaawe ky'amafuta ne gaasi.,Luganda
Minisita yakubirizza bannansi okukozesa emikisa gyonna mu kitongole ky'amafuta be ggaasi.,Luganda
Naffe tukosebwa olw'obutaba n'amasannyalaze mu bitundu byaffe.,Luganda
Omulimu ogw'okwongeza layini y'amasannyalaze mu bukiikakkono bwa Uganda gutandise.,Luganda
Abatuuze baali baggwamu essuubi ly'okufuna amasannyalaze mu bitundu byabwe.,Luganda
Bannannyini ttaka waya z'amasannyalaze wezinaayita baaliyirirwa.,Luganda
Abatuuze mu kitundu bamativu n'okuliririrwa kwe baafunye.,Luganda
Yakubirizza abatuuze okukozesa ssente okwekulaakulanya mu maka gaabwe.,Luganda
Abantu abamu baafunye ssente ntono okusinziira ku kwonoonebwa kwe baafuna.,Luganda
Abantu abasinga mu bitundu bino bakoseddwa obwavu.,Luganda
Pulezidenti yalagidde abalunzi okuva mu kitundu ekyo.,Luganda
Abalunzi bano babba ente z'abatuuze.,Luganda
Abamu ku balunzi tebalina ppamiti kutambuza nte.,Luganda
Abatuuze baawaddeyo okwemulugunya kwaabwe mu lukiiko lw'ekyalo eri abakulembeze baabwe.,Luganda
"Mu bitundu ebimu, obulunzi bw'ente mulimu nnyo mu bavubuka.",Luganda
Abalunzi abaabadde bakwatiddwa baawadde abakungu ba Poliisi enguzi okubayimbula.,Luganda
Abatuuze balina eddembe ku ttaka lyabwe.,Luganda
Abakulembeze abamu bayambako abalunzi mu kutambuza ente okumenya amateeka.,Luganda
Akakiiko kaatadde envumbo ku kutambuza ebisolo ekiro.,Luganda
Waliwo ebibinja by'abalunzi eby'enjawulo mu Uganda.,Luganda
Kirungi okukuuma emirembe n'obutebenkevu mu kitundu.,Luganda
twetaaga obuwagizi obulala okulwanyisa okwonoona obutonde.,Luganda
Abanoonyiboobubudamu bakosa nnyo obutonde bw'ensi.,Luganda
Pulojekiti ziyamba mu kusimba emiti mu bukiikakkono bwa Uganda.,Luganda
Abanoonyiboobubudamu batema emiti okufunamu embaawo n'amanda eby'okutunda.,Luganda
Waliwo okweyongera mu kutema emiti mu Uganda.,Luganda
Ebitongole ebikuumaddembe mu disitulikiti birwanyisa okutema emiti mu bitundu ebyo.,Luganda
Abatuuze mu kitundu nabo beenyigira mu kutunda amanda.,Luganda
Gavumenti ettaddewo amateeka amakakali agakugira okutema emiti.,Luganda
Abakulembeze b'ebyalo bakubirizza abatuuze okukuuma obutonde.,Luganda
Tufuna ebibala okuva ku bika by'emiti ebimu.,Luganda
Waliwo okweyongera mu muwendo gw'abanoonyiboobubudamu abajja mu Uganda.,Luganda
Gavumenti yayongedde ku mutemwa oguweebwa ebyobulamu.,Luganda
Pulezidenti ye yali omugenyi omukulu mu kuggulawo essomero ly'abazaalisa.,Luganda
Abayizi baweebwa amagezi okutwala amasomo ga ssaayansi.,Luganda
Omukulembeze w'abakyala yazimbye essomero ly'abazaalisa.,Luganda
Kya mugaso omusawo okussaawo enkolagana n'abalwadde be.,Luganda
Ekitundu kisanyufu olw'okumalirizibwa kw'essomero ly'abazaalisa.,Luganda
Gavumenti esaanye ekendeeze ku muwendo gw'abakiise mu paalamenti eyongeze emisaala gyabwe.,Luganda
Pulezidenti yagaanye okwongezebwa kw'emisaala gy'abakozi ba gavumenti abamu.,Luganda
Nnawa abayizi bange ekigezo ku lwokutaano.,Luganda
Eggwanga lyaffe lyafunye okukendeera mu baana abafa nga bato n'abakyala abafiira mu ssanya.,Luganda
Gavumenti ewadde abaana abasinga okusoma obulungi okusomera obwereere.,Luganda
Ekibiina ky'ebyobufuzi kiruubirira kutumbula mirimu mu bavubuka.,Luganda
Omukulembeze w'ekyalo yawaddeyo ettaka kuzimbibweko essomero.,Luganda
Okuzimba olutindo kwakugonza entambula y'ebyamaguzi mu disitulikiti.,Luganda
Olutindo lujja kugatta abantu ku byobusuubuzi okuva mu bitundu ebirala.,Luganda
Olutindo lujja kuyamba mu kutumbula ebyenfuna by'ekitundu.,Luganda
Wajja kubeerawo okutumbula eby'ensuubulagana mu mawanga agaliraanye.,Luganda
Abakulembeze ba disitulikiti baabadde n'olukiiko ku kuzimba ebintu ebigasiza awamu abantu mu disitulikiti.,Luganda
Gavumenti eyisizza okuzimbibwa kw'olutindo.,Luganda
Kya bbeeyi nnyo okuddaabiriza ekidyeri ekyonoonese.,Luganda
Ekidyeri kirina obudde butono obw'okutambula.,Luganda
Okuzimba olutindo kwawadde abantu abamu emirimu mu kitundu emirimu.,Luganda
Abakulembeze bayaayaanira gavumenti okuyamba mu kuzimba kw'olutindo.,Luganda
Abakulembeze batema mpenda okuzuula engeri zonna ez'okukomya obwavu buli mu ngeri zonna.,Luganda
Waliwo abantu abaafiirwa obulamu bwabwe olw'entalo n'obukuubagano mu byobufuzi.,Luganda
Mbeebaza mwenna olw'okujja okujaguza ekisa kya Katonda ekyataasizza obulamu bwange.,Luganda
Bulijjo tubaddenga mu ddembe n'obumu mu kitundu kyaffe.,Luganda
Obutakkaanya mu batuuze bulina okugonjoolwa mu mirembe.,Luganda
Yavunaanye muliraanwa we okumuloga.,Luganda
Omukulembeze w'oludda oluvuganya gavumenti yakwatiddwa mu ngeri embi.,Luganda
Buli omu yalowooza nti afudde.,Luganda
Olw'ekisa kya Katonda akyali mulamu.,Luganda
Ebyokwerinda binywevu ku nsalo z'eggwanga.,Luganda
Okufumbirwa amagu kizingamya okusoma kw'omwana omuwala mu kitundu.,Luganda
Waliyo obabbi b'ente mu kitundu ky'obukiikakkono ga Uganda.,Luganda
Pulezidenti atuukirizza obweyamo bwe obw'okuzimba obutale obupya mu ggwanga.,Luganda
Abakulembeze b'abakyala babiri baawonedde watono okufa.,Luganda
Omufu tamanyiddwa bimukwatako.,Luganda
Poliisi yeekebejjezza omulambo okusobola okukola alipoota y'eddwaliro.,Luganda
Obubenje bw'okukubo bweyongedde mu disitulikiti ye Nebbi.,Luganda
Abavuzi bateekeddwa okwewala okuvuga endiima.,Luganda
Abantu baalemereddwa okutegeera ebikwata ku mubiri gw'omugenzi.,Luganda
Omugenzi ajja kuziikibwa mu limbo ey'olukale.,Luganda
Poliisi yalanze ku laadiyo abantu basobole okuzuula omufu y'ani?,Luganda
Waliwo enguzi mu bakungu ba disitulikiti.,Luganda
Ente gavumenti ze yawa abantu zabiddwa.,Luganda
Abakulembeze basse ente okufuna ennyama.,Luganda
Abantu tebaafunye nte gavumenti ze yabawadde.,Luganda
Poliisi ekola okunoonyereza okuzuula ente enzibe.,Luganda
Abantu baawaddeyo amawulire agakwata ku mayitire g'ente.,Luganda
Kansala yakwatiddwa.,Luganda
Abakulembeze baaguzizza abantu ebisolo.,Luganda
Poliisi yasobodde okuzuula ebisolo.,Luganda
Kansala yaguzizza ebisolo eri abatalina kuziganyulwamu.,Luganda
Abakulembeze ba disitulikiti baluvu era beefaako bokka.,Luganda
Abali b'enguzi bajja kukwatibwa.,Luganda
Kansala yaweereddwa akakalu ka poliisi.,Luganda
Kansala yawadde abalonzi be ente.,Luganda
Abazadde tebalina sente zimala kutwala baana baabwe ku ssomero.,Luganda
Abayizi bakola bulungi mu bibuuzo bya pulayimale eby'akamalirizo.,Luganda
Disitulikiti esaana okuyamba abantu abatalina mwasirizi.,Luganda
Amasomero gateekeddwa okugabira abayizi abagezi bbasale ne sikaala.,Luganda
Abakazi beenyigidde mu busuubuzi.,Luganda
Abazadde tebalina nsimbi kubeezaawo maka gaabwe.,Luganda
Abasajja abamu baasuulawo amaka gaabwe.,Luganda
Gavumenti ejja kuwa abantu abateesobola obuyambi.,Luganda
Abasomesa basasulwa bulungi mu masomero.,Luganda
Akakiiko akakulembera essomero kasaze emisaala gy'abasomesa abayosa.,Luganda
Disitulikiti ekola bulungi mu byenjigiriza ku mutendera gw'ekitundu.,Luganda
Amasomero gajja kunyweza okukola bulungi.,Luganda
Ensoma y'abayizi egenda erongooka mpola.,Luganda
Abasomesa tebamalaayo birambikiddwa kusomesa.,Luganda
Abavubuka abasinga tebalina mirimu.,Luganda
Poliisi ejja kukwata abataayaaya ku nguudo.,Luganda
Abantu bateekeddwa okwenyigira mu byobulimi n'obulunzi.,Luganda
Abakulembeze bajja kuwa abavubuka emirimu.,Luganda
Abantu bateekeddwa okwenyigira mu kukulaakulanya ebitundu.,Luganda
Abasajja tebagabirira maka gaabwe.,Luganda
Abavubuka bamala obudde bwabwe obusinga mu zaala n'emizannyo.,Luganda
Abavubuka bazannya zaala okufuna ku ssente.,Luganda
Abavubuka abasinga ba mulekwa.,Luganda
Abakulembeze bateekeddwa okukolera bantu.,Luganda
Abavubuka bateekeddwa okukakibwa okwenyigira mu byenfuna.,Luganda
Abavubuka benyigira mu bikolwa ebimenya amateeka ng'obubbi.,Luganda
Gavumenti etonzeewo youth liverihood fund okuyamba ku pulojekiti z'abavubuka.,Luganda
Abavubuka bateekeddwa okukola ennyo basobole okufuuka abatuuze ab'omugaso.,Luganda
Abakulembeze bakubirizza abantu okusimba emiti.,Luganda
Abantu abatema emiti baatanzibwa.,Luganda
Abantu bateekeddwa okumanya omugaso gw'emiti eri obutonde obutwetoolodde.,Luganda
Abakulembeze baategeka olukiiko okwanukula okusomoozebwa abantu kwe bayitamu.,Luganda
Gavumenti eteekeddwa okukwasisa amateeka g'obutonde.,Luganda
Abantu basala emiti okufuna embaawo.,Luganda
Disitulikiti yagabira abantu endokwa z'emiti.,Luganda
Abantu batema emiti okufuna enku.,Luganda
Abantu batunda amanda ne bafuna ensimbi.,Luganda
Embaawo zivaamu omusolo eri gavumenti.,Luganda
Emiti gikola ng'ekiziyiza amanyi g'empewo.,Luganda
Abantu bekalakaasizza lwa kutema miti gy'ebinazi egya Shea.,Luganda
Bamaama beewaze obuweereza bw'obujjanjabi oluvannyuma lw'okuzaala mu Nebbi.,Luganda
Bamaama tebagenda kufuna bujjanjabi nga bamaze okuzaala.,Luganda
Bamaama bateekeddwa okufaayo ku bulamu bwabwe n'abaana abaakazaalibwa.,Luganda
Okujjumbira kw'obujjanjabi eri bamaama abamaze okuzaala kuli wansi.,Luganda
Bamaama bateekeddwa okulya emmere ennungi.,Luganda
Bamaama balina okwebaka mu katimba k'ensiri akalimu eddagala.,Luganda
Bamaama balina okugenda bakeberwe nga bali mbuto.,Luganda
Bamaama tebasobola kusasulira kulabirirwa okuddirira okuzaala.,Luganda
Abasawo bateekeddwa okubeera abakugu mu kuwa obujjanjabi.,Luganda
Amalwaliro gasigaza kaadi y'okuzaalirako okukaka bamaama okuddayo okufuna okulabirirwa oluvannyuma lw'okuzaala.,Luganda
Bamaama balowooza nti okulabirirwa mu ddwaliro oluvannyuma lw'okuzaala tekwetaagisa.,Luganda
Bamaama baggwamu amaanyi ku lw'okulabirirwa nga bamaze okuzaala kubanga tewali kukeberebwa kukolebwa.,Luganda
Abasajja basuulawo abawala oluvannyuma lw'okubafunisa embuto.,Luganda
Abantu babeera wamu n'enganda.,Luganda
Abawala basuubizibwa empewo.,Luganda
Abantu tebaalina ssente kusasulira we bapangisa.,Luganda
Disitulikiti zirina okussaawo pulogulaamu za bannakyeyombekedde.,Luganda
Bataata babeera mu bulamu bw'okubeera n'abakyala abangi.,Luganda
Abaami bateekeddwa okukakibwa okulabirira amaka gaabwe.,Luganda
Poliisi ejja kukwaata abasajja abatalabirira baana baabwe.,Luganda
Abasajja basimbiddwa mu mbuga z'amateeka olw'obutalabirira maka gaabwe.,Luganda
Poliisi yakoze okunoonyereza era ateeberezebwa yakwatiddwa n'avunaanibwa.,Luganda
Ekkanisa ya Watoto yawadde bannakyeyombekedde obuyambi.,Luganda
Abaana abamu baatwalibwa mu maka ga bamulekwa.,Luganda
Emisango gy'abaana okufuna embuto nga bakyali gyeyongedde ku disitulikiti.,Luganda
Emisango gy'obutabanguko mu maka gyeyongedde.,Luganda
Disitulikiti ewadde abakazi obuyambi basobole okwenyigira mu byobusuubuzi.,Luganda
Gavumenti etaddewo ensimbi okuyamba mu kutuukiriza omwenkanonkano mu baami n'abakyala.,Luganda
Buli disitulikiti ya kubeera n'omubaka omukyala mu paalamenti.,Luganda
Disitulikiti ewadde abantu obubaka obukwata ku mateeka.,Luganda
Abantu abamu tebalina we basula.,Luganda
Gavumenti ejja kuzimbira abantu amayumba.,Luganda
Gavumenti y'ekitundu ekungaanya omusolo mutono.,Luganda
Abantu balina okwewala ebikolwa eby'obutabanguko.,Luganda
Abantu bateekeddwa okukola ennyo okulongoosa embeera zaabwe ez'obulamu.,Luganda
Abantu bateekeddwa okuyigirizibwa ku kabi akali mu bukuubagano obwesigamiziddwa ku kikula ky'omuntu.,Luganda
Abakazi baweereddwa ennyumba ez'emirembe.,Luganda
Abakazi bakozi.,Luganda
Enkambi ya poliisi mu Nebbi yakutte omuliro.,Luganda
Ekyaleetedde omuliro okwaka ku sitenseni ya Poliisi tekinnategeerekeka.,Luganda
Poliisi eri mu kunoonyereza okuzuula ekyaviiriddeko omuliro.,Luganda
Abakungu ba poliisi baafiiriddwa ebintu byabwe.,Luganda
Omuliro gwakutte sitenseni ya poliisi omulundi ogusooka.,Luganda
Omuliro gwatandikidde mu kisenge ky'omukungu akola ekiro.,Luganda
Abakungu baadduukiridde bakungu bannaabwe.,Luganda
Abazinyamooto baatuuse kikeerezi nnyo.,Luganda
Ekitebe kya poliisi ekikulu kijja kuweereza obuyambi eri abakungu..,Luganda
Disitulikiti yataddewo omukutu okutumbula empisa n'obuntubulamu mu bakozi ba gavumenti.,Luganda
Abakulembeze bateekeddwa okwetegereza amateeka agafuga abakulembeze.,Luganda
Wateekeddwa okubeerawo obwerufu n'embalirira mu bakulembeze.,Luganda
Gavumenti eteekeddwa okuteekawo empeenda eziremesa enguzi okusobola okugirwanyisa.,Luganda
Abakulembeze bateekeddwa okuba obumu.,Luganda
Abantu bakyawagira enguzi mu ggwanga.,Luganda
Omukutu gujja ku kwasisa empisa mu bakozi ba gavumenti.,Luganda
Ebitundu biteekeddwa okumanya omulimu gwabyo mu kulwanyisa enguzi.,Luganda
Abakulembeze bateekeddwa okwewaayo mu kutumbula empeereza y'emirimu.,Luganda
Abantu bateekeddwa okufaayo mu kulwanyisa enguzi.,Luganda
Abakungu ba disitulikiti y'e Nebbi baagala emirembe n'okukkiriziganya mu bantu.,Luganda
Abantu bateekeddwa okukolerera okufuna enkulaakulana mu byalo.,Luganda
Abantu bateekeddwa okwagala eggwanga lyabwe.,Luganda
Abantu tebalina mwoyo gwa bumu.,Luganda
Abantu bukuubaganye olw'ensonga z'ettaka.,Luganda
Disitulikiti eteekeddwa okusaka obuyambi okuva mu gavumenti okutumbula empeereza y'emirimu.,Luganda
Abakulembeze b'ebyobuwangwa baakubirizza abantu okusigala obumu.,Luganda
Abantu balina okuwa ebyobuwangwa ekitiibwa.,Luganda
Abakulembeze b'ebyobuwangwa baayigiriza abantu okuwagira enkola y'okutabagana.,Luganda
Abakungu ba disitulikiti bajja kukuba olukiiko okuteesa ku kusoomozebwa kw'abantu.,Luganda
Akatale k'e Nebbi tekalina kaabuyonjo ya lukale.,Luganda
Abantu bakozesa kaabuyonjo ez'emiriraano.,Luganda
Embeera y'obuyonjo mbi mu kitundu.,Luganda
Disitulikiti eteekeddwa okuteeka kaabuyonjo mu kabuga.,Luganda
Okubulawo kwa kaabuyonjo mu katale kukosezza bizinensi z'abantu.,Luganda
Abantu baasenguka okuva mu katale olw'ensonga ezeekuusa ku byobulamu.,Luganda
Disitulikiti eremeddwa okuteekawo embeera y'obuyonjo ennungi mu katale.,Luganda
Abakungu ba disitulikiti ab'ebyobulamu baakakasizza nti kaabuyonjo zijja kuzimbibwa mu katale.,Luganda
Disitulikiti terina ssente zimala kuteekerateekera bantu.,Luganda
Disitulikiti yafunye ensimbi okuva mu gavumenti.,Luganda
Abatembeeyi balina okukozesa kaabuyonjo y'okumunisipaali.,Luganda
Emisango gy'obukuubagano obusinziira ku kikula bweyongedde mu disitulikiti.,Luganda
Kkooti y'omulamuzi ebooze n'emisango egyekuusa ku bukuubagano obusinziira ku kikula.,Luganda
Abantu abakola ku misango egy'obukuubagano obusinziira ku kikula balina kyekubiira.,Luganda
Abakosebwa batanzibwa embuzi okukola ku nsonga zaabwe ezikwata ku bukuubagano obusinziira ku kikula.,Luganda
Abakulembeze ba disitulikiti tebaagala butabanguko obusinziira ku kikula.,Luganda
Abantu bateekeddwa okwegatta okulwanyisa obukuubagano obusinziira ku kikula.,Luganda
Ekkanisa yakubiriza abantu okwagalana.,Luganda
Abantu balina okubeera n'ebiruubirirwa eby'awamu mu kitundu.,Luganda
Abantu baateekeddwa mu nkomyo lwa misango egy'ekuusa ku bukuubagano obusinziira ku kikula.,Luganda
Disitulikiti yayigirizza abantu b'omu kitundu okukendeeza obukuubagano obusinziira ku kikula.,Luganda
Poliisi yakute omusajja ateeberezebwa okutta mukyalawe.,Luganda
Omukyala yatiddwa lwa ssente ezisukka mu mitwalo etaano.,Luganda
Omusawo wa poliisi akoze alipoota y'eddwaliro.,Luganda
Waabaddewo okwonoona ebintu.,Luganda
Poliisi ekola okunoonyereza kwayo.,Luganda
Abaagalana bateekeddwa okuba obumu maka gaabwe.,Luganda
Waliwo emisango gy'obutabanguko bw'omu maka mitono mu disitulikiti y'eNebbi.,Luganda
Ekkanisa etandise okuwa abantu obuweereza bw'okubuulirirwa.,Luganda
Waliwo okweyongera kw'emisango gy'obutabanguko mu Uganda mwonna.,Luganda
Abalimi n'abalunzi bateekeddwa okukugira ensolo zaabwe.,Luganda
Waliwo okulima ebibala mu disitulikiti y'e Nebbi.,Luganda
Ebibala byonooneddwa ensolo ezitaayaaya.,Luganda
Abantu bafunye ensimbi okuva mu kutunda ebibala.,Luganda
Disitulikiti eremeddwa okuteekesa amateeka gaayo mu nkola.,Luganda
Ensolo ezitaayaaya zoonoonye ebimera by'abantu.,Luganda
Abalimi n'abalunzi bateekeddwa okukuumira ensolo zaabwe mu nnyumba enyangungu.,Luganda
Bannabyabufuzi bateekeddwa okwaniriza enkulaakulana mu disitulikiti.,Luganda
Disitulikiti yabaze amateeka agalambika engeri ensolo ezitayaaya gye zirina okuyisibwamu.,Luganda
Gavumenti ewadde ensimbi ezikunukirizza mu buwumbi busatu eri abalimi n'abalunzi mu West Nile.,Luganda
Disitulikiti yasase ensimbi okuva mu gavumenti okunyweza obulimirunda.,Luganda
"Abalimi balima emiyembe, appo, ovakedo ne kooko.",Luganda
Ekkolero ery'ebibala lijja kuteekebwa mu kitundu okulongoosa ebiva mu birime.,Luganda
Waliwo okweyongera mu misango gy'abawala abafuna embuto nga bakyali bato.,Luganda
Disitulikiti eteekeddwa okuteekawo enkola ez'enjawulo okuyamba omwana omuwala.,Luganda
